G1000-2-8.graph: 4 components, Alt1: 0.0012947859999999922 seconds, Alt2: 0.002296635999999963 seconds
G1000-2-9.graph: 3 components, Alt1: 0.0012573329999999716 seconds, Alt2: 0.0020873849999999416 seconds
G1000-2-10.graph: 2 components, Alt1: 0.001569035000000052 seconds, Alt2: 0.0020688110000000037 seconds
G1000-5-1.graph: 1 components, Alt1: 0.002457182000000002 seconds, Alt2: 0.004331398000000042 seconds
G1000-5-2.graph: 1 components, Alt1: 0.003477729000000096 seconds, Alt2: 0.004232517000000047 seconds
G1000-5-3.graph: 1 components, Alt1: 0.002900589000000009 seconds, Alt2: 0.004371979999999942 seconds
G1000-5-4.graph: 1 components, Alt1: 0.002709997000000075 seconds, Alt2: 0.004853624000000001 seconds
G1000-5-5.graph: 1 components, Alt1: 0.00262894300000005 seconds, Alt2: 0.004327744999999994 seconds
G1000-5-6.graph: 1 components, Alt1: 0.0025962330000000033 seconds, Alt2: 0.0049820919999999935 seconds
G1000-5-7.graph: 1 components, Alt1: 0.0024996210000000074 seconds, Alt2: 0.004229257999999958 seconds
G1000-5-8.graph: 1 components, Alt1: 0.0026632450000000363 seconds, Alt2: 0.00527489400000003 seconds
G1000-5-9.graph: 1 components, Alt1: 0.004745047999999974 seconds, Alt2: 0.006931436000000013 seconds
G1000-5-10.graph: 1 components, Alt1: 0.0025618649999999965 seconds, Alt2: 0.004125269999999959 seconds
G1000-10-1.graph: 1 components, Alt1: 0.008369677999999992 seconds, Alt2: 0.015105181999999995 seconds
G1000-10-2.graph: 1 components, Alt1: 0.0072907209999999445 seconds, Alt2: 0.016563297000000032 seconds
G1000-10-3.graph: 1 components, Alt1: 0.009574930999999953 seconds, Alt2: 0.010304876000000185 seconds
G1000-10-4.graph: 1 components, Alt1: 0.006123966000000092 seconds, Alt2: 0.008983484000000042 seconds
G1000-10-5.graph: 1 components, Alt1: 0.007358842000000143 seconds, Alt2: 0.009741494000000017 seconds
G1000-10-6.graph: 1 components, Alt1: 0.004896400999999884 seconds, Alt2: 0.010471666000000157 seconds
G1000-10-7.graph: 1 components, Alt1: 0.004407577999999912 seconds, Alt2: 0.007937441999999795 seconds
G1000-10-8.graph: 1 components, Alt1: 0.004488591999999958 seconds, Alt2: 0.009028744000000088 seconds
G1000-10-9.graph: 1 components, Alt1: 0.004469908999999994 seconds, Alt2: 0.007500889000000122 seconds
G1000-10-10.graph: 1 components, Alt1: 0.006277139000000043 seconds, Alt2: 0.008863827000000102 seconds
G10000-1-1.graph: 239 components, Alt1: 0.014145349000000085 seconds, Alt2: 0.01578140699999997 seconds
G10000-1-2.graph: 255 components, Alt1: 0.013348466000000059 seconds, Alt2: 0.017659587999999893 seconds
G10000-1-3.graph: 259 components, Alt1: 0.014916678000000072 seconds, Alt2: 0.017246843999999983 seconds
G10000-1-4.graph: 265 components, Alt1: 0.01561976399999998 seconds, Alt2: 0.04256396699999998 seconds
G10000-1-5.graph: 285 components, Alt1: 0.013731720999999864 seconds, Alt2: 0.01943646500000007 seconds
G10000-1-6.graph: 249 components, Alt1: 0.024560045999999947 seconds, Alt2: 0.02610525699999977 seconds
G10000-1-7.graph: 293 components, Alt1: 0.01440461599999976 seconds, Alt2: 0.02260563400000004 seconds
G10000-1-8.graph: 241 components, Alt1: 0.010603522999999893 seconds, Alt2: 0.014056942000000294 seconds
G10000-1-9.graph: 238 components, Alt1: 0.010087540000000228 seconds, Alt2: 0.01368727500000011 seconds
G10000-1-10.graph: 256 components, Alt1: 0.009993353999999677 seconds, Alt2: 0.013449126999999894 seconds
G10000-2-1.graph: 11 components, Alt1: 0.02036033500000034 seconds, Alt2: 0.022710909000000168 seconds
G10000-2-2.graph: 6 components, Alt1: 0.02373764100000031 seconds, Alt2: 0.025665447999999813 seconds
G10000-2-3.graph: 7 components, Alt1: 0.02128823199999985 seconds, Alt2: 0.023880956000000175 seconds
G10000-2-4.graph: 7 components, Alt1: 0.02567964899999975 seconds, Alt2: 0.03438260400000015 seconds
G10000-2-5.graph: 14 components, Alt1: 0.02868548500000001 seconds, Alt2: 0.025077602000000088 seconds
G10000-2-6.graph: 9 components, Alt1: 0.024147249999999953 seconds, Alt2: 0.02479542999999973 seconds
G10000-2-7.graph: 8 components, Alt1: 0.025125147000000236 seconds, Alt2: 0.023717609000000195 seconds
G10000-2-8.graph: 10 components, Alt1: 0.02717152299999981 seconds, Alt2: 0.02482992400000006 seconds
G10000-2-9.graph: 15 components, Alt1: 0.02231278399999992 seconds, Alt2: 0.022604446999999972 seconds
G10000-2-10.graph: 15 components, Alt1: 0.02830173200000008 seconds, Alt2: 0.026108196000000028 seconds
G10000-5-1.graph: 1 components, Alt1: 0.050530402000000585 seconds, Alt2: 0.06933672099999999 seconds
G10000-5-2.graph: 1 components, Alt1: 0.05463960699999948 seconds, Alt2: 0.0680980800000004 seconds
G10000-5-3.graph: 1 components, Alt1: 0.04986060099999978 seconds, Alt2: 0.06904943400000008 seconds
G10000-5-4.graph: 1 components, Alt1: 0.044174648999999455 seconds, Alt2: 0.06608694699999962 seconds
G10000-5-5.graph: 1 components, Alt1: 0.06141614700000009 seconds, Alt2: 0.1126633840000002 seconds
G10000-5-6.graph: 1 components, Alt1: 0.09340516600000015 seconds, Alt2: 0.10841741900000024 seconds
G10000-5-7.graph: 1 components, Alt1: 0.11351952100000062 seconds, Alt2: 0.13824567099999996 seconds
G10000-5-8.graph: 1 components, Alt1: 0.04673870799999946 seconds, Alt2: 0.06834665500000003 seconds
G10000-5-9.graph: 1 components, Alt1: 0.04589641599999972 seconds, Alt2: 0.06793107299999956 seconds
